"DATE","variable","value"
"9/20/17","time11:00",40.62
"9/20/17","time12:00",40.37
"9/20/17","time13:00",45.02
"9/20/17","time14:00",49.04
"9/20/17","time15:00",46.71
"9/20/17","time16:00",27.69
"9/20/17","time17:00",5.15
"9/20/17","time18:00",3.22
"9/20/17","time19:00",3.07
"9/20/17","time20:00",2.45
"9/20/17","time21:00",2.17
"9/20/17","time22:00",2.3
"9/20/17","time23:00",2.32
"9/21/17","time00:00",2.32
"9/21/17","time01:00",2.47
"9/21/17","time02:00",2.45
"9/21/17","time03:00",2.32
"9/21/17","time04:00",2.32
"9/21/17","time05:00",4.65
"9/21/17","time06:00",14.94
"9/21/17","time07:00",11.2
"9/21/17","time08:00",14.51
"9/21/17","time09:00",21.02
"9/21/17","time10:00",23.26
"9/21/17","time11:00",25.14
"9/21/17","time12:00",27.78
"9/21/17","time13:00",26.99
"9/21/17","time14:00",29.79
"9/21/17","time15:00",22.37
"9/21/17","time16:00",11.83
"9/21/17","time17:00",5.6
"9/21/17","time18:00",3.07
"9/21/17","time19:00",2.45
"9/21/17","time20:00",2.62
"9/21/17","time21:00",2.3
"9/21/17","time22:00",2.17
"9/21/17","time23:00",2.32
"9/22/17","time00:00",2.47
"9/22/17","time01:00",2.47
"9/22/17","time02:00",2.32
"9/22/17","time03:00",2.32
"9/22/17","time04:00",2.3
"9/22/17","time05:00",2.47
"9/22/17","time06:00",3.22
"9/22/17","time07:00",8.3
"9/22/17","time08:00",11.43
"9/22/17","time09:00",12.95
"9/22/17","time10:00",13.54
"9/22/17","time11:00",14.24
"9/22/17","time12:00",18.71
"9/22/17","time13:00",38.49
"9/22/17","time14:00",40.78
"9/22/17","time15:00",39.05
"9/22/17","time16:00",21.26
"9/22/17","time17:00",5.6
"9/22/17","time18:00",3.35
"9/22/17","time19:00",2.75
"9/22/17","time20:00",2.47
"9/22/17","time21:00",2.6
"9/22/17","time22:00",2.3
"9/22/17","time23:00",2.45
"9/23/17","time00:00",2.32
"9/23/17","time01:00",2.6
"9/23/17","time02:00",2.47
"9/23/17","time03:00",2.62
"9/23/17","time04:00",2.32
"9/23/17","time05:00",2.32
"9/23/17","time06:00",2.78
"9/23/17","time07:00",2.67
"9/23/17","time08:00",2.17
"9/23/17","time09:00",2.17
"9/23/17","time10:00",2.45
"9/23/17","time11:00",2.92
"9/23/17","time12:00",3.09
"9/23/17","time13:00",2.45
"9/23/17","time14:00",2.77
"9/23/17","time15:00",2.45
"9/23/17","time16:00",2.15
"9/23/17","time17:00",2.45
"9/23/17","time18:00",2.45
"9/23/17","time19:00",2.3
"9/23/17","time20:00",2.15
"9/23/17","time21:00",2.47
"9/23/17","time22:00",2.15
"9/23/17","time23:00",2.45
"9/24/17","time00:00",2.45
"9/24/17","time01:00",2.3
"9/24/17","time02:00",2.32
"9/24/17","time03:00",2.32
"9/24/17","time04:00",2.3
"9/24/17","time05:00",2.17
"9/24/17","time06:00",2.6
"9/24/17","time07:00",2.47
"9/24/17","time08:00",4.5
"9/24/17","time09:00",5.42
"9/24/17","time10:00",7.39
"9/24/17","time11:00",5.18
"9/24/17","time12:00",7.02
"9/24/17","time13:00",4.4
"9/24/17","time14:00",5
"9/24/17","time15:00",4.57
"9/24/17","time16:00",4.1
"9/24/17","time17:00",2.49
"9/24/17","time18:00",2.45
"9/24/17","time19:00",2.3
"9/24/17","time20:00",2.3
"9/24/17","time21:00",2.45
"9/24/17","time22:00",2.17
"9/24/17","time23:00",2.62
