"Day","Season","Time","mean_kWh"
"Sunday","Spring","9:00",0.000289679463964304
"Sunday","Summer","9:00",0.000351970419415116
"Sunday","Winter","9:00",0.000274016641546063
"Thursday","Fall","9:00",0.000821252693313223
"Thursday","Spring","9:00",0.000871040843598123
"Thursday","Summer","9:00",0.000913432590413943
"Thursday","Winter","9:00",0.000835779442978046
"Tuesday","Fall","9:00",0.000841588338118581
"Tuesday","Spring","9:00",0.000877606582561728
"Tuesday","Summer","9:00",0.000914835954583543
"Tuesday","Winter","9:00",0.00083429397745936
"Wednesday","Fall","9:00",0.000821250740711413
"Wednesday","Spring","9:00",0.0008667178612787
"Wednesday","Summer","9:00",0.000909117125314228
"Wednesday","Winter","9:00",0.000839598290849673
"Friday","Fall","10:00",0.000882196835428188
"Friday","Spring","10:00",0.000903872200980392
"Friday","Summer","10:00",0.000909548602145132
"Friday","Winter","10:00",0.000839204420646891
"Monday","Fall","10:00",0.000879183406108597
"Monday","Spring","10:00",0.000893017253540305
"Monday","Summer","10:00",0.000887489416394336
"Monday","Winter","10:00",0.000831648465644377
"Saturday","Fall","10:00",0.000365628900754148
"Saturday","Spring","10:00",0.000280767094473772
"Saturday","Summer","10:00",0.000393759776240154
"Saturday","Winter","10:00",0.000226972056464723
"Sunday","Fall","10:00",0.000319952398474946
"Sunday","Spring","10:00",0.000290935776927267
"Sunday","Summer","10:00",0.000363556745282386
"Sunday","Winter","10:00",0.000259675900369592
"Thursday","Fall","10:00",0.000855437061085973
"Thursday","Spring","10:00",0.000890274461538462
"Thursday","Summer","10:00",0.00094729330982906
"Thursday","Winter","10:00",0.000843131918845316
"Tuesday","Fall","10:00",0.000880630494864613
"Tuesday","Spring","10:00",0.000903177465459332
"Tuesday","Summer","10:00",0.0009600660765879
"Tuesday","Winter","10:00",0.000840002607256578
"Wednesday","Fall","10:00",0.000865399566825876
"Wednesday","Spring","10:00",0.000886536341461371
"Wednesday","Summer","10:00",0.000947107707767723
"Wednesday","Winter","10:00",0.000844008696706888
"Friday","Fall","11:00",0.000910881528950897
"Friday","Spring","11:00",0.000926333461957433
"Friday","Summer","11:00",0.000940264964974024
"Friday","Winter","11:00",0.000846114852564103
"Monday","Fall","11:00",0.000912131974233283
"Monday","Spring","11:00",0.000923241411764706
"Monday","Summer","11:00",0.000915822707905384
"Monday","Winter","11:00",0.000836285261982571
"Saturday","Fall","11:00",0.000393128090342718
"Saturday","Spring","11:00",0.000300351317274175
"Saturday","Summer","11:00",0.000404378456184012
"Saturday","Winter","11:00",0.000234994754168762
"Sunday","Fall","11:00",0.000385395410130719
"Sunday","Spring","11:00",0.000273496368116306
"Sunday","Summer","11:00",0.000363403597523881
"Sunday","Winter","11:00",0.000209345731687675
"Thursday","Fall","11:00",0.000877492385243841
"Thursday","Spring","11:00",0.000912352159041394
"Thursday","Summer","11:00",0.000973452893958438
"Thursday","Winter","11:00",0.000852039569842467
"Tuesday","Fall","11:00",0.000891252561391223
"Tuesday","Spring","11:00",0.000923061378903413
"Tuesday","Summer","11:00",0.00098519766084297
"Tuesday","Winter","11:00",0.000862004216230937
"Wednesday","Fall","11:00",0.000884274936944863
"Wednesday","Spring","11:00",0.000903877060541311
"Wednesday","Summer","11:00",0.000982428276227585
"Wednesday","Winter","11:00",0.000858225986886208
"Friday","Fall","12:00",0.000923425339701693
"Friday","Spring","12:00",0.000944469706049941
"Friday","Summer","12:00",0.000958576464471259
"Friday","Winter","12:00",0.000858418370831238
"Monday","Fall","12:00",0.000928683917420814
"Monday","Spring","12:00",0.000941645778095497
"Monday","Summer","12:00",0.000940324818082789
"Monday","Winter","12:00",0.000854179380467572
"Saturday","Fall","12:00",0.000403586471254399
"Saturday","Spring","12:00",0.00030907747629881
"Saturday","Summer","12:00",0.000414790267538126
"Saturday","Winter","12:00",0.000247000611835931
"Sunday","Fall","12:00",0.000317665506309703
"Sunday","Spring","12:00",0.000324498780844646
"Sunday","Summer","12:00",0.000310518144821518
"Sunday","Winter","12:00",0.000296250375801432
"Thursday","Fall","12:00",0.000899050731230099
"Thursday","Spring","12:00",0.000939204860482655
"Thursday","Summer","12:00",0.00100169939521535
"Thursday","Winter","12:00",0.000854348554424334
"Tuesday","Fall","12:00",0.00091999533286648
"Tuesday","Spring","12:00",0.000960496202478213
"Tuesday","Summer","12:00",0.00101320495864756
"Tuesday","Winter","12:00",0.000871372578640858
"Wednesday","Fall","12:00",0.000900218417420815
"Wednesday","Spring","12:00",0.000919332623638344
"Wednesday","Summer","12:00",0.00102158476424501
"Wednesday","Winter","12:00",0.000863922145885705
"Friday","Fall","13:00",0.000943401808949221
"Friday","Spring","13:00",0.000957226751801575
"Friday","Summer","13:00",0.000979665787204625
"Friday","Winter","13:00",0.000876103321979219
"Monday","Fall","13:00",0.000950240160088822
"Monday","Spring","13:00",0.00095670377523602
"Monday","Summer","13:00",0.000963609852474323
"Monday","Winter","13:00",0.000865429602731691
"Saturday","Fall","13:00",0.000410259497058824
"Saturday","Spring","13:00",0.000314574867429194
"Saturday","Summer","13:00",0.000416673607918552
"Saturday","Winter","13:00",0.000254633103837774
"Sunday","Fall","13:00",0.00040324350115636
"Sunday","Spring","13:00",0.000318795931833417
"Sunday","Summer","13:00",0.000393792958936652
"Sunday","Winter","13:00",0.00029975352841192
"Thursday","Fall","13:00",0.000918989316951567
"Thursday","Spring","13:00",0.000954114695910843
"Thursday","Summer","13:00",0.0010246193641277
"Thursday","Winter","13:00",0.00085258818438914
"Tuesday","Fall","13:00",0.000945271703120137
"Tuesday","Spring","13:00",0.000976091027051561
"Tuesday","Summer","13:00",0.00103471378024971
"Tuesday","Winter","13:00",0.000874271884782973
"Wednesday","Fall","13:00",0.000924380039257583
"Wednesday","Spring","13:00",0.000934468748449807
"Wednesday","Summer","13:00",0.00104045704893581
"Wednesday","Winter","13:00",0.00088080858048433
"Friday","Fall","14:00",0.000964042555178482
"Friday","Spring","14:00",0.000970816811714429
"Friday","Summer","14:00",0.000998699123512653
"Friday","Winter","14:00",0.000892678083081951
"Monday","Fall","14:00",0.000969690642073069
"Monday","Spring","14:00",0.00097768332852215
"Monday","Summer","14:00",0.00099170501206038
"Monday","Winter","14:00",0.0008785049855455
"Saturday","Fall","14:00",0.000416340275653595
"Saturday","Spring","14:00",0.000323438955936819
"Saturday","Summer","14:00",0.000422797986928105
"Saturday","Winter","14:00",0.000268517948206804
"Sunday","Fall","14:00",0.00041160178135998
"Sunday","Spring","14:00",0.000331822472523881
"Sunday","Summer","14:00",0.00039046383887213
"Sunday","Winter","14:00",0.000316147779621849
"Thursday","Fall","14:00",0.000940021045290766
"Thursday","Spring","14:00",0.000967884620244679
"Thursday","Summer","14:00",0.00104407788126362
"Thursday","Winter","14:00",0.000870645529872633
"Tuesday","Fall","14:00",0.00096906177089169
"Tuesday","Spring","14:00",0.000995549634259259
"Tuesday","Summer","14:00",0.00105747409519021
"Tuesday","Winter","14:00",0.000884620011814982
"Wednesday","Fall","14:00",0.0009422966791939
"Wednesday","Spring","14:00",0.000961155573655103
"Wednesday","Summer","14:00",0.0010678068771158
"Wednesday","Winter","14:00",0.000898073940799397
"Friday","Fall","15:00",0.000973840732151835
"Friday","Spring","15:00",0.000976523936400201
"Friday","Summer","15:00",0.00101250155228758
"Friday","Winter","15:00",0.000903524634196414
"Monday","Fall","15:00",0.000985141426805765
"Monday","Spring","15:00",0.000995167758351489
"Monday","Summer","15:00",0.00100644198673358
"Monday","Winter","15:00",0.000885257809870957
"Saturday","Fall","15:00",0.00041695913077761
"Saturday","Spring","15:00",0.000333315177572482
"Saturday","Summer","15:00",0.000422603908798391
"Saturday","Winter","15:00",0.000274145252354617
"Sunday","Fall","15:00",0.000355461067077258
"Sunday","Spring","15:00",0.000342859356347411
"Sunday","Summer","15:00",0.00039306421083459
"Sunday","Winter","15:00",0.000296510706423125
"Thursday","Fall","15:00",0.000944356710197754
"Thursday","Spring","15:00",0.000976311023923244
"Thursday","Summer","15:00",0.00105297751370035
"Thursday","Winter","15:00",0.000880097554968996
"Tuesday","Fall","15:00",0.000980196562208217
"Tuesday","Spring","15:00",0.000998732490377633
"Tuesday","Summer","15:00",0.0010805401647394
"Tuesday","Winter","15:00",0.000901631678062678
"Wednesday","Fall","15:00",0.000953262252723312
"Wednesday","Spring","15:00",0.000969833090623429
"Wednesday","Summer","15:00",0.00107796977731691
"Wednesday","Winter","15:00",0.000899995664990783
"Friday","Fall","16:00",0.000976581621334004
"Friday","Spring","16:00",0.000982566996983409
"Friday","Summer","16:00",0.00101468816566114
"Friday","Winter","16:00",0.000897429097913524
"Monday","Fall","16:00",0.00099159734912854
"Monday","Spring","16:00",0.00100306940209695
"Monday","Summer","16:00",0.00101955783450047
"Monday","Winter","16:00",0.000881787551323948
"Saturday","Fall","16:00",0.000417795684711748
"Saturday","Spring","16:00",0.00032959683497151
"Saturday","Summer","16:00",0.000423897170558907
"Saturday","Winter","16:00",0.000262359475611698
"Sunday","Fall","16:00",0.00041624490230853
"Sunday","Spring","16:00",0.000311484471547679
"Sunday","Summer","16:00",0.000393003544406737
"Sunday","Winter","16:00",0.000237022476042639
"Thursday","Fall","16:00",0.000947707615971175
"Thursday","Spring","16:00",0.000980724087774426
"Thursday","Summer","16:00",0.00105778803368527
"Thursday","Winter","16:00",0.000880170470169264
"Tuesday","Fall","16:00",0.000979890098622782
"Tuesday","Spring","16:00",0.00099907886637618
"Tuesday","Summer","16:00",0.00109206500544662
"Tuesday","Winter","16:00",0.000899242229973186
"Wednesday","Fall","16:00",0.000959687411052455
"Wednesday","Spring","16:00",0.00098179115057818
"Wednesday","Summer","16:00",0.00108559179399196
"Wednesday","Winter","16:00",0.000897593778364337
"Friday","Fall","17:00",0.000896630207432546
"Friday","Spring","17:00",0.000910468743338361
"Friday","Summer","17:00",0.000914968026269482
"Friday","Winter","17:00",0.000826702478213508
"Monday","Fall","17:00",0.000904789621166415
"Monday","Spring","17:00",0.000919847040849673
"Monday","Summer","17:00",0.000930920747315593
"Monday","Winter","17:00",0.000830424790682085
"Saturday","Fall","17:00",0.000410409033735546
