"DATE","Site.Conditioned.Area..Square.Feet..SF.","variable","value"
"9/7/17",50096,"time04:00",8.94282976684765e-05
"9/7/17",50096,"time05:00",8.62344298946024e-05
"9/7/17",50096,"time06:00",0.000348131587352284
"9/7/17",50096,"time07:00",0.000351325455126158
"9/7/17",50096,"time08:00",0.000488661769402747
"9/7/17",50096,"time09:00",0.000472692430533376
"9/7/17",50096,"time10:00",0.000689875439156819
"9/7/17",50096,"time11:00",0.000923027786649633
"9/7/17",50096,"time12:00",0.00083679335675503
"9/7/17",50096,"time13:00",0.00118492494410731
"9/7/17",50096,"time14:00",0.00118811881188119
"9/7/17",50096,"time15:00",0.00117853720855957
"9/7/17",50096,"time16:00",0.00106675183647397
"9/7/17",50096,"time17:00",0.00091344618332801
"9/7/17",50096,"time18:00",0.000645161290322581
"9/7/17",50096,"time19:00",0.000290641967422549
"9/7/17",50096,"time20:00",0.000271478760779304
"9/7/17",50096,"time21:00",0.000162887256467582
"9/7/17",50096,"time22:00",0.000111785372085596
"9/7/17",50096,"time23:00",8.62344298946024e-05
"9/8/17",50096,"time00:00",9.58160332162248e-05
"9/8/17",50096,"time01:00",9.58160332162248e-05
"9/8/17",50096,"time02:00",8.94282976684765e-05
"9/8/17",50096,"time03:00",8.30405621207282e-05
"9/8/17",50096,"time04:00",8.30405621207282e-05
"9/8/17",50096,"time05:00",9.26221654423507e-05
"9/8/17",50096,"time06:00",0.000293835835196423
"9/8/17",50096,"time07:00",0.000261897157457681
"9/8/17",50096,"time08:00",0.000354519322900032
"9/8/17",50096,"time09:00",0.000450335356116257
"9/8/17",50096,"time10:00",0.000597253273714468
"9/8/17",50096,"time11:00",0.00103481315873523
"9/8/17",50096,"time12:00",0.00101564995209198
"9/8/17",50096,"time13:00",0.00106036410092622
"9/8/17",50096,"time14:00",0.00107633343979559
"9/8/17",50096,"time15:00",0.00117853720855957
"9/8/17",50096,"time16:00",0.00114659853082082
"9/8/17",50096,"time17:00",0.000482274033854998
"9/8/17",50096,"time18:00",0.000648355158096455
"9/8/17",50096,"time19:00",0.000370488661769403
"9/8/17",50096,"time20:00",0.000418396678377515
"9/8/17",50096,"time21:00",0.00015330565314596
"9/8/17",50096,"time22:00",0.000105397636537847
"9/8/17",50096,"time23:00",8.62344298946024e-05
"9/9/17",50096,"time00:00",8.30405621207282e-05
"9/9/17",50096,"time01:00",7.9846694346854e-05
"9/9/17",50096,"time02:00",7.9846694346854e-05
"9/9/17",50096,"time03:00",8.94282976684765e-05
"9/9/17",50096,"time04:00",8.62344298946024e-05
"9/9/17",50096,"time05:00",0.000130948578728841
"9/9/17",50096,"time06:00",0.000143724049824337
"9/9/17",50096,"time07:00",0.000130948578728841
"9/9/17",50096,"time08:00",0.000124560843181092
"9/9/17",50096,"time09:00",0.000118173107633344
"9/9/17",50096,"time10:00",0.000108591504311721
"9/9/17",50096,"time11:00",0.000162887256467582
"9/9/17",50096,"time12:00",0.000233152347492814
"9/9/17",50096,"time13:00",0.000159693388693708
"9/9/17",50096,"time14:00",0.00015330565314596
"9/9/17",50096,"time15:00",0.000140530182050463
"9/9/17",50096,"time16:00",7.66528265729799e-05
"9/9/17",50096,"time17:00",8.94282976684765e-05
"9/9/17",50096,"time18:00",7.66528265729799e-05
"9/9/17",50096,"time19:00",7.66528265729799e-05
"9/9/17",50096,"time20:00",0.000111785372085596
"9/9/17",50096,"time21:00",9.58160332162248e-05
"9/9/17",50096,"time22:00",8.62344298946024e-05
"9/9/17",50096,"time23:00",9.26221654423507e-05
"9/10/17",50096,"time00:00",0.000102203768763973
"9/10/17",50096,"time01:00",0.000102203768763973
"9/10/17",50096,"time02:00",8.62344298946024e-05
"9/10/17",50096,"time03:00",8.62344298946024e-05
"9/10/17",50096,"time04:00",9.26221654423507e-05
"9/10/17",50096,"time05:00",8.62344298946024e-05
"9/10/17",50096,"time06:00",7.9846694346854e-05
"9/10/17",50096,"time07:00",8.30405621207282e-05
"9/10/17",50096,"time08:00",7.66528265729799e-05
"9/10/17",50096,"time09:00",7.02650910252316e-05
"9/10/17",50096,"time10:00",7.34589587991057e-05
"9/10/17",50096,"time11:00",7.02650910252316e-05
"9/10/17",50096,"time12:00",7.02650910252316e-05
"9/10/17",50096,"time13:00",8.30405621207282e-05
"9/10/17",50096,"time14:00",7.02650910252316e-05
"9/10/17",50096,"time15:00",9.26221654423507e-05
"9/10/17",50096,"time16:00",8.30405621207282e-05
"9/10/17",50096,"time17:00",8.30405621207282e-05
"9/10/17",50096,"time18:00",8.30405621207282e-05
"9/10/17",50096,"time19:00",9.26221654423507e-05
"9/10/17",50096,"time20:00",8.94282976684765e-05
"9/10/17",50096,"time21:00",0.000111785372085596
"9/10/17",50096,"time22:00",9.26221654423507e-05
"9/10/17",50096,"time23:00",9.9009900990099e-05
"9/11/17",50096,"time00:00",8.62344298946024e-05
"9/11/17",50096,"time01:00",9.26221654423507e-05
"9/11/17",50096,"time02:00",8.94282976684765e-05
"9/11/17",50096,"time03:00",9.9009900990099e-05
"9/11/17",50096,"time04:00",8.30405621207282e-05
"9/11/17",50096,"time05:00",8.94282976684765e-05
"9/11/17",50096,"time06:00",0.000335356116256787
"9/11/17",50096,"time07:00",0.000606834877036091
"9/11/17",50096,"time08:00",0.000568508463749601
"9/11/17",50096,"time09:00",0.000824017885659534
"9/11/17",50096,"time10:00",0.000769722133503673
"9/11/17",50096,"time11:00",0.00106675183647397
"9/11/17",50096,"time12:00",0.00116256786969019
"9/11/17",50096,"time13:00",0.00124241456403705
