Date,Time,Electricity.Facility.J.,kWh,Day,Month,Season
0006-01-12,11:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,12:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,13:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,14:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,15:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,16:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,17:00,158155500.2,43.93208339,Thursday,1,Winter
0006-01-12,18:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-12,19:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-12,20:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-12,21:00,107592060.2,29.88668339,Thursday,1,Winter
0006-01-12,22:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-12,23:00,44880393.89,12.46677608,Thursday,1,Winter
0006-01-13,0:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,1:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,2:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,3:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,4:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,5:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,6:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,7:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,8:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-13,9:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,10:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,11:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,12:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,13:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,14:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,15:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,16:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,17:00,158155500.2,43.93208339,Friday,1,Winter
0006-01-13,18:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-13,19:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-13,20:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-13,21:00,107592060.2,29.88668339,Friday,1,Winter
0006-01-13,22:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-13,23:00,44880393.89,12.46677608,Friday,1,Winter
0006-01-14,0:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,1:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,2:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,3:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,4:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,5:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,6:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,7:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,8:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,9:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,10:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,11:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,12:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,13:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,14:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,15:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,16:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,17:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,18:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,19:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,20:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,21:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,22:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-14,23:00,44880393.89,12.46677608,Saturday,1,Winter
0006-01-15,0:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,1:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,2:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,3:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,4:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,5:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,6:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,7:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,8:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,9:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,10:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,11:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,12:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,13:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,14:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,15:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,16:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,17:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,18:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,19:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,20:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,21:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,22:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-15,23:00,44880393.89,12.46677608,Sunday,1,Winter
0006-01-16,0:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,1:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,2:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,3:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,4:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,5:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,6:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,7:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,8:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-16,9:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,10:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,11:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,12:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,13:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,14:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,15:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,16:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,17:00,158155500.2,43.93208339,Monday,1,Winter
0006-01-16,18:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-16,19:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-16,20:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-16,21:00,107592060.2,29.88668339,Monday,1,Winter
0006-01-16,22:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-16,23:00,44880393.89,12.46677608,Monday,1,Winter
0006-01-17,0:00,44880393.89,12.46677608,Tuesday,1,Winter
0006-01-17,1:00,44880393.89,12.46677608,Tuesday,1,Winter
